,user_loginStatus,user_id,user_personal_language,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,customer_id,customer_name,customer_family,customer_groupInfo_id,customer_groupInfo_name,customer_networkInfo_id,customer_networkInfo_name,screen_name,screen_language
204,loggedout,,,10137385,apartment,apartment,275000,forsale,1000,xl,hyperequipped,1970,tobedoneup,gas,237,2,,,true,,true,,,,,,2575488,weinvestbruxelles,agency,,,,,classifieddetails,en
205,loggedout,,,10137418,apartmentgroup,apartmentgroup,278000-313000,forsale,2250,xl,,,,,,,,,,,,,,,,1,409894,heylenvastgoedherentals,agency,,,,,classifieddetails,en
206,loggedout,,,10156098,apartment,apartment,165000,forsale,8000,xl,,1850,justrenovated,electric,295,1,,,,,,,,,,,2949742,blontrock&amp;vermeerschbvbvba,notary,,,,,classifieddetails,en
207,loggedout,,,10156099,apartment,apartment,175000,forsale,8000,xl,,1850,justrenovated,electric,329,1,,,,,,,,,,,2949742,blontrock&amp;vermeerschbvbvba,notary,,,,,classifieddetails,en
208,loggedout,,,10155668,apartment,apartment,895000,forsale,1050,xl,,1936,asnew,gas,227,3,,,,,,,,,,,2078276,barnesbrussels,agency,,,,,classifieddetails,en
209,loggedout,,,10146026,apartment,apartment,180000,forsale,1140,xl,installed,1975,tobedoneup,gas,245,1,,,,,,,,,,,3406569,trianoninvest,agency,,,,,classifieddetails,en
210,loggedout,,,10145274,apartment,apartment,1775000,forsale,8300,xl,usahyperequipped,1976,asnew,gas,160,3,,,true,,true,,,,,,285802,cambier-denil,agency,,,,,classifieddetails,en
211,loggedout,,,10146863,apartment,apartment,398000,forsale,1180,xl,usahyperequipped,2014,asnew,,67,2,,,true,,,,,,,,2538985,keystones,agency,,,,,classifieddetails,en
212,loggedout,,,10134617,apartmentgroup,apartmentgroup,137500-161500,forsale,1000,xl,,,,,70,,,,,,,,,,,1,2673557,trevi-immobilierneuf,real_estate_agency,,,,,classifieddetails,en
213,loggedout,,,10134010,apartment,apartment,159000,forsale,6800,xl,semiequipped,1980,good,fueloil,393,2,,,true,,true,,,,1,,3346893,honestylibramont-7bureauxprochesdechezvous,agency,,,,,classifieddetails,en
214,loggedout,,,10135516,apartmentgroup,apartmentgroup,211700-416000,forsale,2560,xl,,,,,,,,,,,,,,,,1,2296809,heylenvastgoedlier,agency,,,,,classifieddetails,en
215,loggedout,,,10133974,apartmentgroup,apartmentgroup,220000-220000,forsale,9890,xl,,,,,68,,,,,,,,,,,1,1989885,immodavinci,agency,,,,,classifieddetails,en
216,loggedout,,,10134348,apartment,apartment,225000,forsale,2200,xl,installed,1973,justrenovated,gas,144,2,,,,,true,,,,,,2210171,vastgoedhuys,agency,,,,,classifieddetails,en
217,loggedout,,,10135265,apartment,apartment,235200,forsale,2860,xl,semiequipped,2000,good,gas,144,2,,,true,,,,,,,,87803,immoid,agency,,,,,classifieddetails,en
218,loggedout,,,10134714,apartment,apartment,255000,forsale,1200,xl,installed,2010,asnew,gas,127,1,,,true,,true,,,,1,,3623946,bytheway,agency,,,,,classifieddetails,en
219,loggedout,,,10134345,apartment,apartment,273000,forsale,2860,xl,semiequipped,2000,good,gas,134,3,,,true,,true,,,1,,,87803,immoid,agency,,,,,classifieddetails,en
220,loggedout,,,10158154,house,house,290000,forsale,7900,m,installed,2021,,gas,,3,515,true,,,,,,,2,1,504697,maisonsbaijot,property_developer,,,,,classifieddetails,en
221,loggedout,,,10158153,house,bungalow,445000,forsale,1410,xl,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,1628452,triorwaterloo,agency,,,,,classifieddetails,en
222,loggedout,,,10158149,apartment,flatstudio,59000,forsale,4000,xl,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,1768158,sciaraimmo,agency,,,,,classifieddetails,en
223,loggedout,,,9641565,house,house,184000,forsale,02550,xl,,,good,gas,,5,155,,true,,true,,,,1,,3160564,atipiimmobilière,agency,,,,,classifieddetails,en
224,loggedout,,,10121293,house,house,275000,forsale,1420,xl,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,1790430,eracedimmobraine-l&#039;alleud,agency,,,,,classifieddetails,en
225,loggedout,,,10158138,housegroup,housegroup,266000-272000,forsale,9600,l,,,,,,,,,,,,,,,2,1,3002339,vakmansvastgoed,agency,,,,,classifieddetails,en
