,user_loginStatus,user_id,user_personal_language,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,customer_id,customer_name,customer_family,customer_groupInfo_id,customer_groupInfo_name,customer_networkInfo_id,customer_networkInfo_name,screen_name,screen_language
66,loggedout,,,10141214,apartment,apartment,1995000,forsale,1050,xl,usahyperequipped,2018,justrenovated,gas,109,4,,,true,,true,,,3,,1,2078276,barnesbrussels,agency,,,,,classifieddetails,en
67,loggedout,,,10143856,apartmentgroup,apartmentgroup,169500-399500,forsale,8710,xl,,,,,,,,,,,,,,,,1,1600308,dewaele-woonvastgoedwaregem,agency,,,,,classifieddetails,en
68,loggedout,,,10156553,house,house,324500,forsale,2660,l,semiequipped,,,,298,3,240,,,,,,,,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
69,loggedout,,,10156552,house,house,365000,forsale,2660,l,,,justrenovated,,227,4,180,,,,,,,,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
70,loggedout,,,10156551,apartment,apartment,269000,forsale,9120,l,installed,1974,asnew,gas,153,2,,,,,true,,,,,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
71,loggedout,,,10156550,apartment,apartment,279000,forsale,9120,l,installed,1995,good,gas,101,2,,,,,,,,1,,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
72,loggedout,,,10156549,apartment,apartment,299000,forsale,2000,l,semiequipped,1942,torenovate,gas,640,1,,,true,,true,true,,3,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
73,loggedout,,,10156548,house,house,369000,forsale,9100,l,installed,,good,electric,290,5,200,,,,,,,1,,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
74,loggedout,,,10156547,house,house,329000,forsale,9120,l,installed,1950,good,gas,317,2,339,,true,,,,,,3,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
75,loggedout,,,10156546,apartment,apartment,205000,forsale,2660,l,semiequipped,1968,good,,207,3,,,true,,true,,,,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
76,loggedout,,,10143541,apartment,apartment,220000,forsale,1020,xl,semiequipped,1970,asnew,gas,143,1,,,true,,true,,,1,,,3854704,gvdimmo,agency_paying_with_ogone,,,,,classifieddetails,en
77,loggedout,,,10143954,apartment,apartment,225000,forsale,2660,xl,installed,1996,asnew,gas,128,2,,,,,true,,,1,,,1237655,chase,agency,,,,,classifieddetails,en
78,loggedout,,,10143225,apartmentgroup,apartmentgroup,292000-415000,forsale,1300,xl,,,,,,,,,,,,,,,,1,1749739,aryespropertiess.p.r.l,agency,,,,,classifieddetails,en
79,loggedout,,,10143801,apartment,duplex,370000,forsale,9000,xl,hyperequipped,2013,justrenovated,gas,129,3,,,true,,,true,,1,,,348077,trevigent,agency,,,,,classifieddetails,en
